stock_id,name,cash
sz.000001,平安银行,18871.046000000002
sz.000002,万科A,16173.664000000002
sz.000063,中兴通讯,19829.500000000004
sz.000069,华侨城A,19646.500000000022
sz.000100,TCL科技,19838.967999999997
sz.000157,中联重科,19591.535999999993
sz.000166,申万宏源,19836.827999999994
sz.000301,东方盛虹,23095.152000000002
sz.000333,美的集团,21051.746
sz.000338,潍柴动力,19565.396
sz.000408,藏格矿业,20278.37399999999
sz.000425,徐工机械,19757.949999999997
sz.000538,云南白药,17692.797999999995
sz.000568,泸州老窖,30471.443999999992
sz.000596,古井贡酒,22100.304
sz.000617,中油资本,19384.046
sz.000625,长安汽车,17778.26000000001
sz.000651,格力电器,19297.234
sz.000661,长春高新,0.0
sz.000708,中信特钢,21837.864000000016
sz.000723,美锦能源,20509.113999999998
sz.000725,京东方A,20732.311999999994
sz.000733,振华科技,23887.339999999986
sz.000768,中航西飞,20687.528
sz.000776,广发证券,20378.479999999996
sz.000786,北新建材,23128.63799999998
sz.000792,盐湖股份,19015.868000000002
sz.000800,一汽解放,18320.89399999999
sz.000858,五粮液,0.0
sz.000876,新希望,17002.793999999987
sz.000895,双汇发展,17934.139999999992
sz.000938,紫光股份,19162.800000000007
sz.000963,华东医药,17167.86799999999
sz.000977,浪潮信息,17201.767999999996
sz.000983,山西焦煤,19290.959999999992
sz.002001,新和成,14814.770000000002
sz.002007,华兰生物,19894.874000000003
sz.002027,分众传媒,20945.384000000005
sz.002049,紫光国微,21867.00600000001
sz.002050,三花智控,16169.56
sz.002064,华峰化学,20925.575999999986
sz.002074,国轩高科,21322.029999999984
sz.002120,韵达股份,17922.436000000005
sz.002129,TCL中环,18552.134000000013
sz.002142,宁波银行,19449.968000000008
sz.002179,中航光电,20889.214
sz.002202,金风科技,16791.417999999983
sz.002230,科大讯飞,20538.312000000005
sz.002236,大华股份,18534.222
sz.002241,歌尔股份,21607.573999999986
sz.002252,上海莱士,19533.719999999987
sz.002271,东方雨虹,20891.118000000002
sz.002304,洋河股份,18659.47999999999
sz.002311,海大集团,13660.363999999998
sz.002352,顺丰控股,23451.145999999997
sz.002371,北方华创,27635.905999999995
sz.002410,广联达,14901.204000000005
sz.002414,高德红外,17034.015999999992
sz.002415,海康威视,26644.996
sz.002459,晶澳科技,27527.173999999995
sz.002460,赣锋锂业,27628.852
sz.002466,天齐锂业,39721.882000000005
sz.002475,立讯精密,18060.957999999988
sz.002493,荣盛石化,15161.397999999996
sz.002555,三七互娱,17096.114000000005
sz.002594,比亚迪,41318.924
sz.002601,龙佰集团,17139.06600000001
sz.002648,卫星化学,17899.489999999998
sz.002709,天赐材料,18914.894
sz.002714,牧原股份,22431.362000000005
sz.002736,国信证券,19408.150000000005
sz.002756,永兴材料,30205.029999999995
sz.002812,恩捷股份,24762.434
sz.002821,凯莱英,0.0
sz.002841,视源股份,21577.726000000002
sz.002916,深南电路,17470.492000000002
sz.002920,德赛西威,20735.139999999996
sz.002938,鹏鼎控股,15142.180000000002
sz.003816,中国广核,20115.84
sz.300014,亿纬锂能,29964.73800000001
sz.300015,爱尔眼科,15394.176000000001
sz.300033,同花顺,20054.006
sz.300059,东方财富,17444.140000000007
sz.300122,智飞生物,22352.392
sz.300124,汇川技术,17350.54
sz.300142,沃森生物,24829.532000000007
sz.300207,欣旺达,18894.447999999993
sz.300223,北京君正,25966.35199999999
sz.300274,阳光电源,33325.464
sz.300316,晶盛机电,23250.034000000014
sz.300347,泰格医药,22364.87599999999
sz.300408,三环集团,17099.52199999999
sz.300413,芒果超媒,17840.343999999997
sz.300433,蓝思科技,15809.109999999999
sz.300450,先导智能,17789.855999999992
sz.300454,深信服,0.0
sz.300496,中科创达,16991.364
sz.300498,温氏股份,19832.90400000001
sz.300601,康泰生物,16195.347999999998
sz.300628,亿联网络,20542.814000000002
sz.300661,圣邦股份,0.0
sz.300750,宁德时代,0.0
sz.300751,迈为股份,0.0
sz.300759,康龙化成,21741.29399999999
sz.300760,迈瑞医疗,0.0
sz.300763,锦浪科技,18428.811999999998
sz.300769,德方纳米,45711.72
sz.300782,卓胜微,0.0
sz.300896,爱美客,0.0
sz.300919,中伟股份,23538.199999999993
sz.300957,贝泰妮,0.0
sz.300979,华利集团,23038.257999999994
sz.300999,金龙鱼,23636.881999999998
sh.600000,浦发银行,19674.05599999999
sh.600009,上海机场,18653.538
sh.600010,包钢股份,20680.919999999976
sh.600011,华能国际,23278.001999999993
sh.600015,华夏银行,19632.199999999993
sh.600016,民生银行,19645.852
sh.600018,上港集团,20675.49199999998
sh.600019,宝钢股份,23082.766000000007
sh.600025,华能水电,19439.997999999992
sh.600028,中国石化,20044.911999999993
sh.600029,南方航空,18834.475999999988
sh.600030,中信证券,19042.782
sh.600031,三一重工,20242.91599999999
sh.600036,招商银行,17931.144
sh.600039,四川路桥,20411.366000000016
sh.600048,保利发展,18645.054
sh.600050,中国联通,19398.34399999999
sh.600061,国投资本,17455.677999999996
sh.600085,同仁堂,22281.398
sh.600089,特变电工,30555.858000000004
sh.600104,上汽集团,20618.053999999996
sh.600111,北方稀土,25254.460000000003
sh.600115,中国东航,19391.80800000002
sh.600132,重庆啤酒,18732.727999999996
sh.600150,中国船舶,27927.451999999997
sh.600176,中国巨石,19504.556000000004
sh.600183,生益科技,18033.002
sh.600188,兖矿能源,23593.405999999995
sh.600196,复星医药,24799.234000000008
sh.600219,南山铝业,20010.445999999996
sh.600233,圆通速递,23424.949999999993
sh.600276,恒瑞医药,20092.61400000001
sh.600309,万华化学,22500.63399999999
sh.600332,白云山,18887.500000000004
sh.600346,恒力石化,21963.88000000001
sh.600362,江西铜业,23579.244000000013
sh.600383,金地集团,18317.384
sh.600406,国电南瑞,14559.382000000001
sh.600426,华鲁恒升,21934.424000000003
sh.600436,片仔癀,0.0
sh.600438,通威股份,21388.084000000017
sh.600460,士兰微,25525.395999999986
sh.600519,贵州茅台,0.0
sh.600547,山东黄金,0.0
sh.600570,恒生电子,19911.174000000006
sh.600584,长电科技,17861.614000000005
sh.600585,海螺水泥,19496.037999999997
sh.600588,用友网络,16026.104000000003
sh.600600,青岛啤酒,14617.144
sh.600660,福耀玻璃,23158.19000000001
sh.600674,川投能源,21267.609999999993
sh.600732,爱旭股份,18562.618000000002
sh.600741,华域汽车,18478.363999999998
sh.600745,闻泰科技,17002.215999999993
sh.600754,锦江酒店,25633.044
sh.600760,中航沈飞,15054.076000000005
sh.600763,通策医疗,19472.5
sh.600795,国电电力,20201.718000000008
sh.600803,新奥股份,19397.59199999999
sh.600809,山西汾酒,19901.856
